,Unnamed: 0,Time.results.were.received,MD5.hash.of.participant.s.IP.address,Controller.name,Item.number,Element.number,Type,Group.Ibex,PennElementType,PennElementName,Parameter,Value,EventTime,ID,Study,SentNumber,WhichCategory,Matrix,Subject,Predicate,SentType,Negation,CompTruth,SubStat,Token,MatchingCategory,MismatchingCategory,Group,Comments,study,order,goal,Verb
315,316,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,26,1,test,,PennController,27,_Trial_,Start,1587058812173.0,19705,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,tunas,fishes,birds,G,,cb,2,none,know
316,317,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,26,1,test,,Selector,unnamed-Selector,Selection,Disagree,1587058818678.0,19705,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,tunas,fishes,birds,G,,cb,2,none,know
317,318,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,26,1,test,,PennController,27,_Trial_,End,1587058818679.0,19705,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,tunas,fishes,birds,G,,cb,2,none,know
327,328,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,27,1,test,,PennController,28,_Trial_,Start,1587058827975.0,19705,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,monkeys,mammals,fruit,G,,cb,2,none,know
328,329,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,27,1,test,,Selector,unnamed-Selector,Selection,Disagree,1587058835354.0,19705,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,monkeys,mammals,fruit,G,,cb,2,none,know
329,330,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,27,1,test,,PennController,28,_Trial_,End,1587058835355.0,19705,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,monkeys,mammals,fruit,G,,cb,2,none,know
339,340,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,21,1,test,,PennController,22,_Trial_,Start,1587058846057.0,19705,CB,2,Mismatching,Zoologists know that,Token,Category,T2,0.0,0,expert,kiwis,fruits,insects,G,,cb,2,none,know
340,341,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,21,1,test,,Selector,unnamed-Selector,Selection,Disagree,1587058848108.0,19705,CB,2,Mismatching,Zoologists know that,Token,Category,T2,0.0,0,expert,kiwis,fruits,insects,G,,cb,2,none,know
341,342,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,21,1,test,,PennController,22,_Trial_,End,1587058848109.0,19705,CB,2,Mismatching,Zoologists know that,Token,Category,T2,0.0,0,expert,kiwis,fruits,insects,G,,cb,2,none,know
343,344,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,29,1,test,,PennController,30,_Trial_,Start,1587058850521.0,19705,CB,6,Mismatching,Babies don't know that,Token,Category,T5,1.0,0,novice,cows,mammals,fruit,G,,cb,2,none,know
344,345,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,29,1,test,,Selector,unnamed-Selector,Selection,Agree,1587058859662.0,19705,CB,6,Mismatching,Babies don't know that,Token,Category,T5,1.0,0,novice,cows,mammals,fruit,G,,cb,2,none,know
345,346,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,29,1,test,,PennController,30,_Trial_,End,1587058859663.0,19705,CB,6,Mismatching,Babies don't know that,Token,Category,T5,1.0,0,novice,cows,mammals,fruit,G,,cb,2,none,know
347,348,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,23,1,test,,PennController,24,_Trial_,Start,1587058862062.0,19705,CB,3,Matching,Zoologists don't know that,Token,Category,T3,1.0,1,expert,oranges,fruits,insects,G,,cb,2,none,know
348,349,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,23,1,test,,Selector,unnamed-Selector,Selection,Disagree,1587058863195.0,19705,CB,3,Matching,Zoologists don't know that,Token,Category,T3,1.0,1,expert,oranges,fruits,insects,G,,cb,2,none,know
349,350,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,23,1,test,,PennController,24,_Trial_,End,1587058863196.0,19705,CB,3,Matching,Zoologists don't know that,Token,Category,T3,1.0,1,expert,oranges,fruits,insects,G,,cb,2,none,know
351,352,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,19,1,test,,PennController,20,_Trial_,Start,1587058865255.0,19705,CB,1,Matching,Zoologists know that,Token,Category,T4,0.0,1,expert,watermellon,fruits,insects,G,,cb,2,none,know
